episode,reward
0,-814.0132909868202
1,147.87081455891803
2,72.93026024064717
3,63.57802314196325
4,81.8173817007896
5,63.29657461332789
6,91.52664203931997
7,91.7741253146666
8,138.55289209215073
9,82.53110867528875
10,100.62090539638527
11,82.15457367607185
12,91.32142230653567
13,101.23238602101381
14,110.26651966161376
15,82.50349552903826
16,81.82140288782122
17,110.29753075391392
18,82.28425249316822
19,100.63372115107406
20,82.19694815887516
21,81.81226448634281
22,119.93833016148669
23,91.42681015427809
24,91.89539647651168
25,129.28749411448263
26,82.30054091981263
27,138.18107609303337
28,101.12671025151006
29,204.13606521353333
30,91.3528071312216
31,100.8667360833966
32,91.5781844806971
33,193.02678758119794
34,82.16815507828792
35,101.21820389633818
36,82.2535229205349
37,101.16884763960417
38,138.5738393531025
39,110.30278026813278
40,194.4666925016342
41,110.35497087149571
42,92.02292398758036
43,119.80800168312442
44,72.95401624699304
45,91.86144044723825
46,156.87050390690962
47,203.96885885976985
48,110.39661946915835
49,91.94691256649848
50,128.92205799095183
51,138.4694005838738
52,91.75208628437588
53,101.16530643755516
54,100.91740077407539
55,101.05191886014113
56,119.69838440133478
57,175.99890645936853
58,211.95456289468314
59,138.37449188771373
60,128.43502282471533
61,175.9278688032849
62,82.18253080957902
63,128.95370144372694
64,91.52344541216256
65,210.99068287258442
66,119.76316517880853
67,147.18369972595409
68,110.51353869531245
69,119.73682466334408
70,231.0898500185727
71,82.40485141451276
72,119.8656222607798
73,203.68014636405303
74,110.11414906025598
75,129.07034329220303
76,82.33222099395991
77,91.60319669360973
78,82.39150209526241
79,110.18730721738419
80,100.76160036017562
81,138.1077130816378
82,91.88121401481939
83,100.57630451884424
84,110.38215970892762
85,110.43925048075643
86,138.00419652421058
87,101.1327106099866
88,166.4564763687205
89,287.9048759652103
90,91.46050777829008
91,194.28362737548153
92,109.99038042196294
93,147.28179413964037
94,222.6575456029248
95,165.67161980635896
96,109.92359257126259
97,138.482034725719
98,213.12444132046383
99,147.9663639855091
100,184.90359401297007
101,193.23818406639043
102,110.38066981615448
103,91.64322414966719
104,109.83094529228504
105,128.69301067069418
106,155.92973806589907
107,231.63729500456813
108,91.44981389788983
109,203.36109716960343
110,156.70819279608432
111,100.68142015341799
112,119.45325716816349
113,128.96576878744636
114,213.19302449033125
115,175.21503024371782
116,147.04420647798423
117,119.49077289592486
118,128.77061855525818
119,175.43043445063074
120,147.7520732705258
121,175.45006759910527
122,101.03170219345444
123,175.85481477091352
124,185.04818669950998
125,213.09829639370247
126,166.13033207158588
127,203.7922516660286
128,91.36647477284235
129,100.69285668846771
130,259.75685802811034
131,146.97538916442508
132,250.50339246923278
133,165.854222582019
134,288.05456897379537
135,100.58685577355409
136,91.64065776773383
137,100.78315009965134
138,325.48680316862203
139,175.46612920149423
140,166.05521516167258
141,203.45136643917286
142,137.76848687040626
143,222.17294788336213
144,194.0776661916092
145,175.09164704410568
146,100.73490246588925
147,165.8914514737618
148,184.4535063233488
149,437.1251332438479
150,334.43332099017516
151,128.6104002015197
152,166.0474574996934
153,156.0674719473011
154,334.6778497345308
155,165.75288788307014
156,165.99147424918476
157,184.19671619281485
158,287.8208629236875
159,202.68633661735538
160,530.3400914503812
161,137.785509477809
162,268.03890756345737
163,118.74650385808913
164,202.89294445339578
165,174.05378308756
166,408.6232159822459
167,287.24412395495625
168,268.1567746736712
169,240.29778975265955
170,174.5345796279729
171,259.5589154109583
172,212.1032087384827
173,183.5315412646588
174,408.94391974243666
175,220.97529179231813
176,221.43564136030486
177,192.86603528530418
178,249.39730342230098
179,455.8174562439957
180,351.6975952421427
181,238.85138165636397
182,437.2358168693684
183,398.5963645593955
184,277.92458080107576
185,549.3334836951564
186,743.8815065308431
187,211.587661659162
188,183.29658307590915
189,305.5076980751952
190,240.3572485607945
191,230.36553758335387
192,381.23050629374296
193,267.5058318590339
194,202.5181513239208
195,512.0858686725234
196,343.8217987281749
197,287.3265048601046
198,192.7687692446238
199,324.6892434214787
